State,Cuisine,City,Famous Place/Area,Estimated Cost (INR),Food Type
Uttarakhand,Kafuli,Garhwal,Local Garhwali Restaurant,200-300,Veg
Uttarakhand,Aloo Ke Gutke,Nainital,Street Food Stalls,80-150,Veg
Uttarakhand,Chainsoo,Garhwal,Traditional Dhaba,200-300,Veg
Uttarakhand,Bhang Ki Chutney,Almora,Local Restaurants,50-120,Veg
Uttarakhand,Gahat Dal,Pauri,Local Dhaba,150-250,Veg
Uttarakhand,Garhwal Ka Fannah,Tehri,Local Homes,200-350,Veg
Uttarakhand,Arsa,Chamoli,Local Sweet Shops,100-200,Veg
Uttarakhand,Jhangora Ki Kheer,Almora,Local Restaurants,120-200,Veg
Uttarakhand,Baadi,Nainital,Traditional Restaurants,150-250,Veg
Uttarakhand,Kandalee Ka Saag,Pithoragarh,Local Dhaba,200-300,Veg
Uttarakhand,Phaanu,Garhwal,Traditional Restaurants,200-350,Veg
Uttarakhand,Thhatwani,Kumaon,Local Homes,200-300,Veg
Uttarakhand,Aloo Tamatar Jhol,Nainital,Local Restaurants,150-250,Veg
Uttarakhand,Rot,Kumaon,Local Sweet Shops,120-200,Veg
Uttarakhand,Bal Mithai,Almora,Local Sweet Shops,100-180,Veg
Uttarakhand,Singori,Almora,Sweet Shops,100-180,Veg
Uttarakhand,Gulgula,Dehradun,Street Food,80-150,Veg
Uttarakhand,Ras Bhaat,Garhwal,Local Dhaba,200-300,Veg
Uttarakhand,Bhatt Ki Churkani,Almora,Traditional Restaurant,200-350,Veg
Uttarakhand,Kumaoni Raita,Nainital,Local Restaurant,120-200,Veg
