State,Cuisine,City,Famous Place/Area,Estimated Cost (INR),Food Type
Himachal Pradesh,Dham,Manali,Local Traditional Feast,300-500,Veg
Himachal Pradesh,Chha Gosht,Kullu,Local Himachali Dhaba,350-600,Non-Veg
Himachal Pradesh,Siddu,Shimla,Local Bakeries,100-200,Veg
Himachal Pradesh,Madra,Chamba,Traditional Restaurants,250-400,Veg
Himachal Pradesh,Tudkiya Bhath,Chamba,Local Restaurants,300-450,Non-Veg
Himachal Pradesh,Babru,Shimla,Street Food Market,50-120,Veg
Himachal Pradesh,Bhey,Manali,Local Himachali Restaurant,200-350,Veg
Himachal Pradesh,Aktori,Spiti Valley,Local Homes,150-250,Veg
Himachal Pradesh,Mittha,Una,Local Dhaba,200-350,Veg
Himachal Pradesh,Sepu Vadi,Mandi,Traditional Restaurants,250-400,Veg
Himachal Pradesh,Chana Madra,Kangra,Local Restaurants,200-350,Veg
Himachal Pradesh,Kullu Trout,Kullu,River Side Restaurants,400-700,Non-Veg
Himachal Pradesh,Patande,Shimla,Local Cafes,100-200,Veg
Himachal Pradesh,Thukpa,Dharamshala,Tibetan Restaurants,200-350,Veg
Himachal Pradesh,Momos,Dharamshala,Street Food Stalls,120-250,Veg/Non-Veg
Himachal Pradesh,Chana Bhatura,Shimla,Mall Road Cafes,150-250,Veg
Himachal Pradesh,Bhaturu,Kullu,Local Villages,120-200,Veg
Himachal Pradesh,Tibetan Bread,Dharamshala,Tibetan Bakeries,100-180,Veg
Himachal Pradesh,Chicken Anardana,Chamba,Local Dhaba,350-600,Non-Veg
Himachal Pradesh,Kangri Dham,Kangra,Traditional Feast,350-550,Veg
