id,state,city,scam_type,description,risk_level,reported_year
1,Uttarakhand,Rishikesh,Fake Yoga Classes,Unauthorized yoga trainers charging tourists,Medium,2024
2,Uttarakhand,Haridwar,Temple Donation Scam,Fake priests forcing donations,High,2023
3,Uttarakhand,Mussoorie,Taxi Overcharge,Taxis charging double during tourist rush,Medium,2024
4,Uttarakhand,Nainital,Boat Ride Scam,Boat operators increasing price after ride,Low,2023
5,Uttarakhand,Rishikesh,Adventure Package Scam,Fake rafting package sellers,High,2024
6,Uttarakhand,Haridwar,Fake Ashram Stay,Unauthorized people offering fake stays,Medium,2022
7,Uttarakhand,Nainital,Fake Parking Charges,Unauthorized parking fee collection,Low,2023
8,Uttarakhand,Mussoorie,Hotel Booking Scam,Fake online hotel reservations,High,2024
9,Uttarakhand,Rishikesh,Rafting Equipment Scam,Charging high for low quality gear,Medium,2023
10,Uttarakhand,Haridwar,Spiritual Ritual Scam,Priests charging high ritual fees,Medium,2022
11,Uttarakhand,Nainital,Photography Scam,Street photographers charging excessive rates,Low,2024
12,Uttarakhand,Mussoorie,Shopping Scam,Guides taking tourists to overpriced shops,Medium,2023
13,Uttarakhand,Rishikesh,Fake Meditation Course,Unauthorized meditation courses sold,Medium,2024
14,Uttarakhand,Haridwar,Fake Tour Guide,Unlicensed guides misleading pilgrims,Low,2023
15,Uttarakhand,Nainital,Festival Ticket Scam,Selling fake event entry passes,Medium,2022
16,Uttarakhand,Mussoorie,Food Bill Scam,Restaurants adding hidden service charges,Low,2023
17,Uttarakhand,Rishikesh,Fake Adventure Insurance,Charging fake insurance for rafting,Medium,2024
18,Uttarakhand,Haridwar,Donation Receipt Scam,Fake temple donation receipts issued,High,2023
19,Uttarakhand,Nainital,Fake Taxi App Driver,Impersonating ride service drivers,Medium,2024
20,Uttarakhand,Mussoorie,Fake Travel Agent,Selling fake hill tour packages,High,2023
