id,state,city,scam_type,description,risk_level,reported_year
1,Rajasthan,Jaipur,Fake Tour Guide,Unlicensed guide charging high fee for city tour,Medium,2024
2,Rajasthan,Udaipur,Fake Palace Tickets,Sellers offering fake entry tickets near palace gate,High,2023
3,Rajasthan,Jaisalmer,Camel Safari Overcharge,Operators increasing price after desert trip,Medium,2024
4,Rajasthan,Pushkar,Fake Donation,Priests forcing tourists to donate money at temple,High,2023
5,Rajasthan,Jaipur,Gemstone Scam,Shops selling fake gemstones to tourists,High,2022
6,Rajasthan,Jodhpur,Taxi Meter Scam,Taxi drivers refusing meter and charging extra,Medium,2024
7,Rajasthan,Bikaner,Fake Hotel Booking,Tourists arriving to hotel with no booking record,Medium,2023
8,Rajasthan,Udaipur,Boat Ride Overcharge,Boat operators increasing fare during ride,Low,2022
9,Rajasthan,Jaipur,Fake Handicrafts,Sellers claiming items are authentic but selling duplicates,Medium,2023
10,Rajasthan,Ajmer,Parking Scam,Unauthorized persons charging parking fees,Low,2024
11,Rajasthan,Jaisalmer,Desert Camp Scam,Low quality camp despite premium payment,Medium,2023
12,Rajasthan,Jaipur,Fake Police Fine,Impersonators collecting fines from tourists,High,2022
13,Rajasthan,Udaipur,Photography Scam,Street photographers charging high after photos,Low,2024
14,Rajasthan,Pushkar,Spiritual Ritual Scam,Priests demanding high money for rituals,Medium,2023
15,Rajasthan,Jodhpur,Fake Antique Scam,Selling newly made items as antiques,High,2022
16,Rajasthan,Jaipur,Auto Fare Scam,Auto drivers quoting excessive fares,Medium,2024
17,Rajasthan,Bikaner,Food Bill Scam,Restaurants adding hidden charges,Low,2023
18,Rajasthan,Udaipur,Fake Festival Tickets,Unauthorized festival passes sold to tourists,Medium,2024
19,Rajasthan,Jaipur,Shopping Commission Scam,Guides taking tourists to overpriced shops,Medium,2022
20,Rajasthan,Jaisalmer,Fake Travel Agent,Agents selling fake desert tour packages,High,2024
